store,day_of_week,date,sales,customers,open,promo,state_holiday,school_holiday,store_type,assortment,competition_distance,competition_open_since_month,competition_open_since_year,promo2,promo2_since_week,promo2_since_year,promo_interval,month_map,is_promo
1,5,2015-07-31,5263,555,1,1,0,1,c,a,1270.0,9,2008,0,31,2015,0,Jul,0
2,5,2015-07-31,6064,625,1,1,0,1,a,a,570.0,11,2007,1,13,2010,"Jan,Apr,Jul,Oct",Jul,1
3,5,2015-07-31,8314,821,1,1,0,1,a,a,14130.0,12,2006,1,14,2011,"Jan,Apr,Jul,Oct",Jul,1
4,5,2015-07-31,13995,1498,1,1,0,1,c,c,620.0,9,2009,0,31,2015,0,Jul,0
5,5,2015-07-31,4822,559,1,1,0,1,a,a,29910.0,4,2015,0,31,2015,0,Jul,0
6,5,2015-07-31,5651,589,1,1,0,1,a,a,310.0,12,2013,0,31,2015,0,Jul,0
7,5,2015-07-31,15344,1414,1,1,0,1,a,c,24000.0,4,2013,0,31,2015,0,Jul,0
8,5,2015-07-31,8492,833,1,1,0,1,a,a,7520.0,10,2014,0,31,2015,0,Jul,0
9,5,2015-07-31,8565,687,1,1,0,1,a,c,2030.0,8,2000,0,31,2015,0,Jul,0
10,5,2015-07-31,7185,681,1,1,0,1,a,a,3160.0,9,2009,0,31,2015,0,Jul,0
11,5,2015-07-31,10457,1236,1,1,0,1,a,c,960.0,11,2011,1,1,2012,"Jan,Apr,Jul,Oct",Jul,1
12,5,2015-07-31,8959,962,1,1,0,1,a,c,1070.0,7,2015,1,13,2010,"Jan,Apr,Jul,Oct",Jul,1
13,5,2015-07-31,8821,568,1,1,0,0,d,a,310.0,7,2015,1,45,2009,"Feb,May,Aug,Nov",Jul,0
14,5,2015-07-31,6544,710,1,1,0,1,a,a,1300.0,3,2014,1,40,2011,"Jan,Apr,Jul,Oct",Jul,1
15,5,2015-07-31,9191,766,1,1,0,1,d,c,4110.0,3,2010,1,14,2011,"Jan,Apr,Jul,Oct",Jul,1
16,5,2015-07-31,10231,979,1,1,0,1,a,c,3270.0,7,2015,0,31,2015,0,Jul,0
17,5,2015-07-31,8430,946,1,1,0,1,a,a,50.0,12,2005,1,26,2010,"Jan,Apr,Jul,Oct",Jul,1
18,5,2015-07-31,10071,936,1,1,0,1,d,c,13840.0,6,2010,1,14,2012,"Jan,Apr,Jul,Oct",Jul,1
19,5,2015-07-31,8234,718,1,1,0,1,a,c,3240.0,7,2015,1,22,2011,"Mar,Jun,Sept,Dec",Jul,0
20,5,2015-07-31,9593,974,1,1,0,0,d,a,2340.0,5,2009,1,40,2014,"Jan,Apr,Jul,Oct",Jul,1
21,5,2015-07-31,9515,682,1,1,0,1,c,c,550.0,10,1999,1,45,2009,"Jan,Apr,Jul,Oct",Jul,1
22,5,2015-07-31,6566,633,1,1,0,0,a,a,1040.0,7,2015,1,22,2012,"Jan,Apr,Jul,Oct",Jul,1
23,5,2015-07-31,7273,560,1,1,0,1,d,a,4060.0,8,2005,0,31,2015,0,Jul,0
